"","country","year","population","sources","consumption","electricity","total","percent"
"1","World","1965",3339584000,"biofuel",0,0,43188.023,0
"2","World","1966",3407922944,"biofuel",0,0,45517.853,0
"3","World","1967",3478769920,"biofuel",0,0,47233.086,0
"4","World","1968",3551599104,"biofuel",0,0,50108.195,0
"5","World","1969",3625680896,"biofuel",0,0,53496.635,0
"6","World","1970",3700436992,"biofuel",0,0,56863.493,0
"7","World","1971",3775759872,"biofuel",0,0,59176.269,0
"8","World","1972",3851651072,"biofuel",0,0,62384.81,0
"9","World","1973",3927781120,"biofuel",0,0,65976.601,0
"10","World","1974",4003793920,"biofuel",0,0,66327.06,0
"11","World","1975",4079480064,"biofuel",0,0,66686.123,0
"12","World","1976",4154667008,"biofuel",0,0,70283.85,0
"13","World","1977",4229506048,"biofuel",0,0,72856.075,0
"14","World","1978",4304534016,"biofuel",0,0,75401.878,0
"15","World","1979",4380506112,"biofuel",0,0,78024.35,0
"16","World","1980",4458002944,"biofuel",0,0,77460.599,0
"17","World","1981",4536996864,"biofuel",0,0,77089.769,0
"18","World","1982",4617387008,"biofuel",0,0,76587.56,0
"19","World","1983",4699569152,"biofuel",0,0,77804.395,0
"20","World","1984",4784011776,"biofuel",0,0,81517.65,0
"21","World","1985",4870922240,"biofuel",0,0,83671.76,0
"22","World","1986",4960567808,"biofuel",0,0,85482.732,0
"23","World","1987",5052521984,"biofuel",0,0,88458.849,0
"24","World","1988",5145425920,"biofuel",0,0,91839.555,0
"25","World","1989",5237441024,"biofuel",0,0,93593.59,0
"26","World","1990",5327230976,"biofuel",102.76,0,94738.058,0.108467496768828
"27","World","1991",5414288896,"biofuel",108.63,0,95391.416,0.113878171176325
"28","World","1992",5498919936,"biofuel",106.608,0,96085.435,0.110951259158061
"29","World","1993",5581598208,"biofuel",111.162,0,96744.464,0.114902698721862
"30","World","1994",5663150080,"biofuel",120.114,0,97973.24,0.122598783096282
"31","World","1995",5744212992,"biofuel",126.441,0,100014.441,0.126422743291641
"32","World","1996",5824891904,"biofuel",121.037,0,102951.622,0.11756687038889
"33","World","1997",5905046016,"biofuel",126.272,0,103904.026,0.121527533495189
"34","World","1998",5984794112,"biofuel",127.632,0,104535.896,0.122093945605058
"35","World","1999",6064239104,"biofuel",129.306,0,106410.18,0.121516569185392
"36","World","2000",6143494144,"biofuel",126.039,0,109066.558,0.115561545455574
"37","World","2001",6222626816,"biofuel",125.74,0,110151.743,0.114151620823649
"38","World","2002",6301772800,"biofuel",146.199,0,112540.366,0.129908054501973
"39","World","2003",6381185024,"biofuel",164.938,0,116555.663,0.141510069742386
"40","World","2004",6461158912,"biofuel",199.349,0,122204.904,0.163126841456379
"41","World","2005",6541906944,"biofuel",238.388,0,126281.054,0.188775744618033
"42","World","2006",6623518208,"biofuel",299.533,0,129869.236,0.23064199746274
"43","World","2007",6705947136,"biofuel",394.209,0,133847.385,0.294521256429477
"44","World","2008",6789088768,"biofuel",539.807,0,135341.681,0.398847565666042
"45","World","2009",6872766976,"biofuel",618.649,0,133224.509,0.46436575720463
"46","World","2010",6956824064,"biofuel",712.414,0,139571.899,0.51042796229347
"47","World","2011",7041193984,"biofuel",745.152,0,142942.035,0.521296622088807
"48","World","2012",7125828096,"biofuel",764.713,0,144718.829,0.528412926834835
"49","World","2013",7210582016,"biofuel",817.131,0,147397.738,0.554371465320587
"50","World","2014",7295290880,"biofuel",875.835,0,148516.952,0.589720559306927
"51","World","2015",7379796992,"biofuel",907.399,0,149520.323,0.606873354600766
"52","World","2016",7464022016,"biofuel",944.501,0,151567.168,0.623156724812593
"53","World","2017",7547858944,"biofuel",972.009,0,154215.55,0.630292470506379
"54","World","2018",7631091200,"biofuel",1040.053,0,158531.499,0.656054479116482
"55","World","2019",7713467904,"biofuel",1101.949,0,160575.143,0.686251296067661
"56","World","1965",3339584000,"coal",16140.191,0,43188.023,37.3719144309986
"57","World","1966",3407922944,"coal",16324.107,0,45517.853,35.8630865124504
"58","World","1967",3478769920,"coal",16060.823,0,47233.086,34.0033319017097
"59","World","1968",3551599104,"coal",16301.16,0,50108.195,32.5319241692901
"60","World","1969",3625680896,"coal",16798.749,0,53496.635,31.4015059078015
"61","World","1970",3700436992,"coal",17058.622,0,56863.493,29.9992510132995
"62","World","1971",3775759872,"coal",16965.973,0,59176.269,28.6702309670791
"63","World","1972",3851651072,"coal",17154.346,0,62384.81,27.4976328372243
"64","World","1973",3927781120,"coal",17667.864,0,65976.601,26.778984870712
"65","World","1974",4003793920,"coal",17682.065,0,66327.06,26.6589006055749
"66","World","1975",4079480064,"coal",18024.552,0,66686.123,27.0289397390818
"67","World","1976",4154667008,"coal",18688.5,0,70283.85,26.5900345527458
"68","World","1977",4229506048,"coal",19241.309,0,72856.075,26.4100268920608
"69","World","1978",4304534016,"coal",19457.913,0,75401.878,25.8056079186781
"70","World","1979",4380506112,"coal",20363.547,0,78024.35,26.0989639772712
"71","World","1980",4458002944,"coal",20857.619,0,77460.599,26.9267463320287
"72","World","1981",4536996864,"coal",21149.69,0,77089.769,27.4351451228243
"73","World","1982",4617387008,"coal",21384.44,0,76587.56,27.9215580180384
"74","World","1983",4699569152,"coal",22045.022,0,77804.395,28.3339032454401
"75","World","1984",4784011776,"coal",22999.527,0,81517.65,28.2141683426841
"76","World","1985",4870922240,"coal",23986.182,3747.634,83671.76,28.6669982799454
"77","World","1986",4960567808,"coal",24256.05,3838.27,85482.732,28.3753799539303
"78","World","1987",5052521984,"coal",25210.286,4057.283,88458.849,28.4994506315586
"79","World","1988",5145425920,"coal",25964.647,4199.198,91839.555,28.2717473968597
"80","World","1989",5237441024,"coal",26213.476,4377.118,93593.59,28.0077684807261
"81","World","1990",5327230976,"coal",25894.997,4460.397,94738.058,27.3332571372742
"82","World","1991",5414288896,"coal",25642.774,4557.359,95391.416,26.881636813107
"83","World","1992",5498919936,"coal",25549.959,4650.556,96085.435,26.5908761301856
"84","World","1993",5581598208,"coal",25675.129,4727.105,96744.464,26.5391195924141
"85","World","1994",5663150080,"coal",25773.562,4892.752,97973.24,26.3067364108812
"86","World","1995",5744212992,"coal",25954.363,5039.42,100014.441,25.9506154716197
"87","World","1996",5824891904,"coal",26572.145,5279.991,102951.622,25.8103218616604
"88","World","1997",5905046016,"coal",26526.834,5395.739,103904.026,25.5301310461252
"89","World","1998",5984794112,"coal",26359.578,5507.309,104535.896,25.2158148622938
"90","World","1999",6064239104,"coal",26521.914,5626.914,106410.18,24.9242262347456
"91","World","2000",6143494144,"coal",27417.313,5989.372,109066.558,25.1381482122137
"92","World","2001",6222626816,"coal",27852.504,6068.977,110151.743,25.2855771878253
"93","World","2002",6301772800,"coal",28944.643,6319.812,112540.366,25.7193432265895
"94","World","2003",6381185024,"coal",31496.509,6765.126,116555.663,27.0227187502678
"95","World","2004",6461158912,"coal",33664.341,6985.995,122204.904,27.5474550513947
"96","World","2005",6541906944,"coal",36170.786,7358.06,126281.054,28.6430821206164
"97","World","2006",6623518208,"coal",38070.674,7760.151,129869.236,29.3146207466717
"98","World","2007",6705947136,"coal",40223.624,8251.118,133847.385,30.0518564482974
"99","World","2008",6789088768,"coal",40770.48,8266.006,135341.681,30.1241123198403
"100","World","2009",6872766976,"coal",40148.633,8115.192,133224.509,30.1360712840008
"101","World","2010",6956824064,"coal",41997.234,8634.042,139571.899,30.0900355307195
"102","World","2011",7041193984,"coal",44018.078,9075.431,142942.035,30.7943552083892
