"country","year","continent","biofuel_consumption"
"Algeria",1965,"Africa",-4.60517018598809
"Algeria",1966,"Africa",-4.60517018598809
"Algeria",1967,"Africa",-4.60517018598809
"Algeria",1968,"Africa",-4.60517018598809
"Algeria",1969,"Africa",-4.60517018598809
"Algeria",1970,"Africa",-4.60517018598809
"Algeria",1971,"Africa",-4.60517018598809
"Algeria",1972,"Africa",-4.60517018598809
"Algeria",1973,"Africa",-4.60517018598809
"Algeria",1974,"Africa",-4.60517018598809
"Algeria",1975,"Africa",-4.60517018598809
"Algeria",1976,"Africa",-4.60517018598809
"Algeria",1977,"Africa",-4.60517018598809
"Algeria",1978,"Africa",-4.60517018598809
"Algeria",1979,"Africa",-4.60517018598809
"Algeria",1980,"Africa",-4.60517018598809
"Algeria",1981,"Africa",-4.60517018598809
"Algeria",1982,"Africa",-4.60517018598809
"Algeria",1983,"Africa",-4.60517018598809
"Algeria",1984,"Africa",-4.60517018598809
"Algeria",1985,"Africa",-4.60517018598809
"Algeria",1986,"Africa",-4.60517018598809
"Algeria",1987,"Africa",-4.60517018598809
"Algeria",1988,"Africa",-4.60517018598809
"Algeria",1989,"Africa",-4.60517018598809
"Algeria",1990,"Africa",-4.60517018598809
"Algeria",1991,"Africa",-4.60517018598809
"Algeria",1992,"Africa",-4.60517018598809
"Algeria",1993,"Africa",-4.60517018598809
"Algeria",1994,"Africa",-4.60517018598809
"Algeria",1995,"Africa",-4.60517018598809
"Algeria",1996,"Africa",-4.60517018598809
"Algeria",1997,"Africa",-4.60517018598809
"Algeria",1998,"Africa",-4.60517018598809
"Algeria",1999,"Africa",-4.60517018598809
"Algeria",2000,"Africa",-4.60517018598809
"Algeria",2001,"Africa",-4.60517018598809
"Algeria",2002,"Africa",-4.60517018598809
"Algeria",2003,"Africa",-4.60517018598809
"Algeria",2004,"Africa",-4.60517018598809
"Algeria",2005,"Africa",-4.60517018598809
"Algeria",2006,"Africa",-4.60517018598809
"Algeria",2007,"Africa",-4.60517018598809
"Algeria",2008,"Africa",-4.60517018598809
"Algeria",2009,"Africa",-4.60517018598809
"Algeria",2010,"Africa",-4.60517018598809
"Algeria",2011,"Africa",-4.60517018598809
"Algeria",2012,"Africa",-4.60517018598809
"Algeria",2013,"Africa",-4.60517018598809
"Algeria",2014,"Africa",-4.60517018598809
"Algeria",2015,"Africa",-4.60517018598809
"Algeria",2016,"Africa",-4.60517018598809
"Algeria",2017,"Africa",-4.60517018598809
"Algeria",2018,"Africa",-4.60517018598809
"Algeria",2019,"Africa",-4.60517018598809
"Angola",1980,"Africa",-4.60517018598809
"Angola",1981,"Africa",-4.60517018598809
"Angola",1982,"Africa",-4.60517018598809
"Angola",1983,"Africa",-4.60517018598809
"Angola",1984,"Africa",-4.60517018598809
"Angola",1985,"Africa",-4.60517018598809
"Angola",1986,"Africa",-4.60517018598809
"Angola",1987,"Africa",-4.60517018598809
"Angola",1988,"Africa",-4.60517018598809
"Angola",1989,"Africa",-4.60517018598809
"Angola",1990,"Africa",-4.60517018598809
"Angola",1991,"Africa",-4.60517018598809
"Angola",1992,"Africa",-4.60517018598809
"Angola",1993,"Africa",-4.60517018598809
