"country","year","continent","coal_consumption"
"South Africa",1965,"Africa",5.65868398785281
"South Africa",1966,"Africa",5.64595207037536
"South Africa",1967,"Africa",5.67441545402339
"South Africa",1968,"Africa",5.72010519789445
"South Africa",1969,"Africa",5.72989846400897
"South Africa",1970,"Africa",5.76240980910382
"South Africa",1971,"Africa",5.82949252685161
"South Africa",1972,"Africa",5.83654899150448
"South Africa",1973,"Africa",5.8997356966811
"South Africa",1974,"Africa",5.94619256188286
"South Africa",1975,"Africa",6.01131619281058
"South Africa",1976,"Africa",6.06005500430383
"South Africa",1977,"Africa",6.09537851702281
"South Africa",1978,"Africa",6.06620321318961
"South Africa",1979,"Africa",6.13069808903464
"South Africa",1980,"Africa",6.20807077662182
"South Africa",1981,"Africa",6.3782071443841
"South Africa",1982,"Africa",6.47017701905751
"South Africa",1983,"Africa",6.48572166815442
"South Africa",1984,"Africa",6.56038972503573
"South Africa",1985,"Africa",6.58697684784116
"South Africa",1986,"Africa",6.60078980441345
"South Africa",1987,"Africa",6.61818342201189
"South Africa",1988,"Africa",6.69695770152703
"South Africa",1989,"Africa",6.6278945400028
"South Africa",1990,"Africa",6.66301519228036
"South Africa",1991,"Africa",6.64478272954685
"South Africa",1992,"Africa",6.6485893942408
"South Africa",1993,"Africa",6.65252748919508
"South Africa",1994,"Africa",6.68416287694951
"South Africa",1995,"Africa",6.72109311536976
"South Africa",1996,"Africa",6.73639502698345
"South Africa",1997,"Africa",6.75820715778013
"South Africa",1998,"Africa",6.72771791144048
"South Africa",1999,"Africa",6.77160331279503
"South Africa",2000,"Africa",6.7661640645085
"South Africa",2001,"Africa",6.76973382108475
"South Africa",2002,"Africa",6.71974839127874
"South Africa",2003,"Africa",6.82543506308789
"South Africa",2004,"Africa",6.91683196098853
"South Africa",2005,"Africa",6.83548024136172
"South Africa",2006,"Africa",6.85386809705936
"South Africa",2007,"Africa",6.8803717491192
"South Africa",2008,"Africa",6.98980796529454
"South Africa",2009,"Africa",6.99501495847548
"South Africa",2010,"Africa",6.98429678768239
"South Africa",2011,"Africa",6.95908222280354
"South Africa",2012,"Africa",6.93478175136764
"South Africa",2013,"Africa",6.93500364723515
"South Africa",2014,"Africa",6.94767766897956
"South Africa",2015,"Africa",6.88397372625067
"South Africa",2016,"Africa",6.95660734599745
"South Africa",2017,"Africa",6.94017987382719
"South Africa",2018,"Africa",6.95138261485013
"South Africa",2019,"Africa",6.96545893304051
"Morocco",1965,"Africa",0.753301103379692
"Morocco",1966,"Africa",1.17896264132177
"Morocco",1967,"Africa",1.17464697494411
"Morocco",1968,"Africa",1.0681530811834
"Morocco",1969,"Africa",1.06746555967127
"Morocco",1970,"Africa",1.2038727993256
"Morocco",1971,"Africa",1.24904176769351
"Morocco",1972,"Africa",1.46024160607197
"Morocco",1973,"Africa",1.45091100420586
"Morocco",1974,"Africa",1.44125591919386
"Morocco",1975,"Africa",1.56903249779906
"Morocco",1976,"Africa",1.65057985576528
"Morocco",1977,"Africa",1.59330853050422
"Morocco",1978,"Africa",1.60140574073684
"Morocco",1979,"Africa",1.57650141218784
"Morocco",1980,"Africa",1.53428323883334
"Morocco",1981,"Africa",1.59473028356183
"Morocco",1982,"Africa",1.70256389042358
"Morocco",1983,"Africa",1.91618704760311
"Morocco",1984,"Africa",1.76438827243192
"Morocco",1985,"Africa",2.04238847747713
"Morocco",1986,"Africa",2.34803635589796
"Morocco",1987,"Africa",2.49650578563135
"Morocco",1988,"Africa",2.48298814396537
"Morocco",1989,"Africa",2.58188210891139
"Morocco",1990,"Africa",2.54600174914781
"Morocco",1991,"Africa",2.6316010289388
"Morocco",1992,"Africa",2.55598623146895
"Morocco",1993,"Africa",2.64411594180612
"Morocco",1994,"Africa",2.7528323438741
"Morocco",1995,"Africa",2.94454423678456
"Morocco",1996,"Africa",3.19117569422592
"Morocco",1997,"Africa",3.14264251886861
"Morocco",1998,"Africa",3.31893833082473
"Morocco",1999,"Africa",3.27419699645616
"Morocco",2000,"Africa",3.44160328963041
"Morocco",2001,"Africa",3.68142675158875
"Morocco",2002,"Africa",3.67584487184348
"Morocco",2003,"Africa",3.63942657039441
"Morocco",2004,"Africa",3.7403089892203
"Morocco",2005,"Africa",3.78777411108815
"Morocco",2006,"Africa",3.80448233718602
"Morocco",2007,"Africa",3.62716361213328
"Morocco",2008,"Africa",3.75246439573905
"Morocco",2009,"Africa",3.4493524235492
"Morocco",2010,"Africa",3.47892973020251
"Morocco",2011,"Africa",3.54489360358555
"Morocco",2012,"Africa",3.56050616414704
"Morocco",2013,"Africa",3.55283060965066
"Morocco",2014,"Africa",3.84936005763606
"Morocco",2015,"Africa",3.94559316886748
"Morocco",2016,"Africa",3.90853693614331
"Morocco",2017,"Africa",3.94721638899625
"Morocco",2018,"Africa",4.09270989354564
"Morocco",2019,"Africa",4.35060046498651
"Egypt",1965,"Africa",1.54692400704486
"Egypt",1966,"Africa",1.1622128700777
"Egypt",1967,"Africa",1.592901943794
"Egypt",1968,"Africa",1.6323728837166
"Egypt",1969,"Africa",1.70892119091905
"Egypt",1970,"Africa",1.62767068069516
"Egypt",1971,"Africa",1.43055045237443
"Egypt",1972,"Africa",1.30860305340402
"Egypt",1973,"Africa",1.17093295024774
"Egypt",1974,"Africa",1.72686532931006
"Egypt",1975,"Africa",1.9047904911901
"Egypt",1976,"Africa",1.88281820017502
"Egypt",1977,"Africa",2.0141027003715
"Egypt",1978,"Africa",1.97116009759435
"Egypt",1979,"Africa",2.07468022457813
"Egypt",1980,"Africa",1.85817123474731
"Egypt",1981,"Africa",2.11154564558037
"Egypt",1982,"Africa",2.14440965802817
"Egypt",1983,"Africa",2.09161711760997
"Egypt",1984,"Africa",2.10547471872665
"Egypt",1985,"Africa",2.15986879079245
"Egypt",1986,"Africa",2.16527514202944
"Egypt",1987,"Africa",2.221483491557
"Egypt",1988,"Africa",2.31045405137274
"Egypt",1989,"Africa",2.33359914652322
"Egypt",1990,"Africa",2.17906060670855
"Egypt",1991,"Africa",2.20794468883992
"Egypt",1992,"Africa",2.23194801339461
"Egypt",1993,"Africa",2.41787613732878
"Egypt",1994,"Africa",2.49130281729324
"Egypt",1995,"Africa",2.08988679954137
"Egypt",1996,"Africa",2.40757554018498
"Egypt",1997,"Africa",2.24092243260194
"Egypt",1998,"Africa",2.22462355152433
"Egypt",1999,"Africa",2.12930256085076
"Egypt",2000,"Africa",2.31461247320676
"Egypt",2001,"Africa",2.18661291674163
"Egypt",2002,"Africa",2.25675055665025
"Egypt",2003,"Africa",2.29293871594224
"Egypt",2004,"Africa",2.31481006261661
"Egypt",2005,"Africa",2.29293871594224
"Egypt",2006,"Africa",2.2935443483419
"Egypt",2007,"Africa",2.1982240776693
"Egypt",2008,"Africa",2.09285122858975
"Egypt",2009,"Africa",1.97519152030604
"Egypt",2010,"Africa",1.68750944785426
"Egypt",2011,"Africa",1.63627456638766
"Egypt",2012,"Africa",1.51556669682403
"Egypt",2013,"Africa",1.50341050778857
"Egypt",2014,"Africa",1.51160455208534
"Egypt",2015,"Africa",2.25695991496777
"Egypt",2016,"Africa",2.67628429833856
"Egypt",2017,"Africa",2.64248003689276
"Egypt",2018,"Africa",3.2207939840241
"Egypt",2019,"Africa",3.14000576271042
