"country","year","continent","gas_consumption"
"Egypt",1965,"Africa",-0.729811164931537
"Egypt",1966,"Africa",-0.599656837472606
"Egypt",1967,"Africa",-0.599656837472606
"Egypt",1968,"Africa",-0.599656837472606
"Egypt",1969,"Africa",-0.366725279792234
"Egypt",1970,"Africa",-0.188742124596877
"Egypt",1971,"Africa",-0.188742124596877
"Egypt",1972,"Africa",-0.366725279792234
"Egypt",1973,"Africa",-0.581605805827038
"Egypt",1974,"Africa",-0.53102833108351
"Egypt",1975,"Africa",-0.711311151187616
"Egypt",1976,"Africa",1.29964655439422
"Egypt",1977,"Africa",1.4902038245104
"Egypt",1978,"Africa",1.9647319032959
"Egypt",1979,"Africa",2.37861977927004
"Egypt",1980,"Africa",3.04418904882219
"Egypt",1981,"Africa",3.15678763255478
"Egypt",1982,"Africa",3.2468411251499
"Egypt",1983,"Africa",3.40572047038974
"Egypt",1984,"Africa",3.65591711641111
"Egypt",1985,"Africa",3.85990832116069
"Egypt",1986,"Africa",4.00149801185575
"Egypt",1987,"Africa",4.10189928662621
"Egypt",1988,"Africa",4.19892977741218
"Egypt",1989,"Africa",4.31090650217076
"Egypt",1990,"Africa",4.35264931596321
"Egypt",1991,"Africa",4.47055248926315
"Egypt",1992,"Africa",4.54889608690891
"Egypt",1993,"Africa",4.68837097858085
"Egypt",1994,"Africa",4.74935710630059
"Egypt",1995,"Africa",4.79814314795718
"Egypt",1996,"Africa",4.82939315452187
"Egypt",1997,"Africa",4.85969611853097
"Egypt",1998,"Africa",4.88183933823855
"Egypt",1999,"Africa",5.06170856428026
"Egypt",2000,"Africa",5.26014810043053
"Egypt",2001,"Africa",5.46308152363491
"Egypt",2002,"Africa",5.5415497786995
"Egypt",2003,"Africa",5.65554765625376
"Egypt",2004,"Africa",5.72071497400094
"Egypt",2005,"Africa",5.71755387874012
"Egypt",2006,"Africa",5.86170602823596
"Egypt",2007,"Africa",5.91140621431237
"Egypt",2008,"Africa",5.9740513129371
"Egypt",2009,"Africa",6.0148343339305
"Egypt",2010,"Africa",6.0734914388319
"Egypt",2011,"Africa",6.1687798434657
"Egypt",2012,"Africa",6.22729132517453
"Egypt",2013,"Africa",6.20460624624182
