"country","year","continent","hydro_consumption"
"Egypt",1965,"Africa",1.57318877975898
"Egypt",1966,"Africa",1.62531126159039
"Egypt",1967,"Africa",1.69982691216178
"Egypt",1968,"Africa",2.1216625571138
"Egypt",1969,"Africa",2.40649455638456
"Egypt",1970,"Africa",2.56763804738546
"Egypt",1971,"Africa",2.64112661573664
"Egypt",1972,"Africa",2.66368025336627
"Egypt",1973,"Africa",2.66193645213619
"Egypt",1974,"Africa",2.83321334405622
"Egypt",1975,"Africa",2.93799722290275
"Egypt",1976,"Africa",3.10198239339665
"Egypt",1977,"Africa",3.22346527720201
"Egypt",1978,"Africa",3.31759835778584
"Egypt",1979,"Africa",3.28458865623354
"Egypt",1980,"Africa",3.30461305714677
"Egypt",1981,"Africa",3.3456846717319
"Egypt",1982,"Africa",3.37259212465182
"Egypt",1983,"Africa",3.30597053171913
"Egypt",1984,"Africa",3.28690823526003
"Egypt",1985,"Africa",3.23557560409061
"Egypt",1986,"Africa",3.2161521189466
"Egypt",1987,"Africa",3.2158713158479
"Egypt",1988,"Africa",3.20010066954187
"Egypt",1989,"Africa",3.27196151195979
"Egypt",1990,"Africa",3.31987886048457
"Egypt",1991,"Africa",3.31614771562241
"Egypt",1992,"Africa",3.30439275239096
"Egypt",1993,"Africa",3.3338103629603
"Egypt",1994,"Africa",3.39484390768998
"Egypt",1995,"Africa",3.43717566432739
"Egypt",1996,"Africa",3.46291944029015
"Egypt",1997,"Africa",3.48758912227236
"Egypt",1998,"Africa",3.51553746010056
"Egypt",1999,"Africa",3.62019903380903
"Egypt",2000,"Africa",3.67358813554498
"Egypt",2001,"Africa",3.68356535929017
"Egypt",2002,"Africa",3.64758859969606
"Egypt",2003,"Africa",3.56277753731629
"Egypt",2004,"Africa",3.54803567676629
"Egypt",2005,"Africa",3.52697798100955
"Egypt",2006,"Africa",3.53169918972631
"Egypt",2007,"Africa",3.6316475081588
"Egypt",2008,"Africa",3.68537331478465
"Egypt",2009,"Africa",3.58745562397597
"Egypt",2010,"Africa",3.52007611312089
"Egypt",2011,"Africa",3.51669632929291
"Egypt",2012,"Africa",3.51351364988599
"Egypt",2013,"Africa",3.52338551542624
"Egypt",2014,"Africa",3.54350680109818
"Egypt",2015,"Africa",3.54460484495688
"Egypt",2016,"Africa",3.52536002428258
"Egypt",2017,"Africa",3.49082477833098
"Egypt",2018,"Africa",3.50336279842344
"Egypt",2019,"Africa",3.50161570478066
"Morocco",1965,"Africa",1.21757980773215
"Morocco",1966,"Africa",1.07772907775169
"Morocco",1967,"Africa",0.955126755659353
"Morocco",1968,"Africa",1.08146612983314
"Morocco",1969,"Africa",1.33762918913861
"Morocco",1970,"Africa",1.32148913775377
"Morocco",1971,"Africa",1.442674694556
"Morocco",1972,"Africa",1.49132982395377
"Morocco",1973,"Africa",1.20026594239461
"Morocco",1974,"Africa",1.31479835941482
"Morocco",1975,"Africa",1.04098317583147
"Morocco",1976,"Africa",1.02317009350125
"Morocco",1977,"Africa",1.33552724406624
"Morocco",1978,"Africa",1.37194185489549
"Morocco",1979,"Africa",1.48251321886043
"Morocco",1980,"Africa",1.43936108205658
"Morocco",1981,"Africa",1.04872151905464
"Morocco",1982,"Africa",0.469378433851817
"Morocco",1983,"Africa",0.297137231222536
"Morocco",1984,"Africa",0.0266419309464211
"Morocco",1985,"Africa",0.307484699747961
"Morocco",1986,"Africa",0.585561969880008
"Morocco",1987,"Africa",0.833778310299691
"Morocco",1988,"Africa",0.959350221334602
"Morocco",1989,"Africa",1.17062282464438
"Morocco",1990,"Africa",1.22348127071398
"Morocco",1991,"Africa",1.22847027592632
"Morocco",1992,"Africa",0.988797422660903
"Morocco",1993,"Africa",0.21591750622247
"Morocco",1994,"Africa",0.851432159525659
"Morocco",1995,"Africa",0.534737443812304
"Morocco",1996,"Africa",1.69488139425157
"Morocco",1997,"Africa",1.75716802445844
"Morocco",1998,"Africa",1.59857916909922
"Morocco",1999,"Africa",0.833778310299691
"Morocco",2000,"Africa",0.695145183222618
"Morocco",2001,"Africa",0.871293365943419
"Morocco",2002,"Africa",0.841136058273395
"Morocco",2003,"Africa",1.37067298021693
"Morocco",2004,"Africa",1.46279233209262
"Morocco",2005,"Africa",0.95743267520533
"Morocco",2006,"Africa",0.969262616640261
"Morocco",2007,"Africa",0.877965617552487
"Morocco",2008,"Africa",0.886655926744464
"Morocco",2009,"Africa",1.90924616468372
"Morocco",2010,"Africa",2.20298572777129
"Morocco",2011,"Africa",1.65000387418076
"Morocco",2012,"Africa",1.43770014917979
"Morocco",2013,"Africa",1.96571277635149
"Morocco",2014,"Africa",1.42959328551504
"Morocco",2015,"Africa",1.56423131959602
"Morocco",2016,"Africa",1.15310047395218
"Morocco",2017,"Africa",1.08923512685551
