"country","year","continent","nuclear_consumption"
"South Africa",1965,"Africa",-4.60517018598809
"South Africa",1966,"Africa",-4.60517018598809
"South Africa",1967,"Africa",-4.60517018598809
"South Africa",1968,"Africa",-4.60517018598809
"South Africa",1969,"Africa",-4.60517018598809
"South Africa",1970,"Africa",-4.60517018598809
"South Africa",1971,"Africa",-4.60517018598809
"South Africa",1972,"Africa",-4.60517018598809
"South Africa",1973,"Africa",-4.60517018598809
"South Africa",1974,"Africa",-4.60517018598809
"South Africa",1975,"Africa",-4.60517018598809
"South Africa",1976,"Africa",-4.60517018598809
"South Africa",1977,"Africa",-4.60517018598809
"South Africa",1978,"Africa",-4.60517018598809
"South Africa",1979,"Africa",-4.60517018598809
"South Africa",1980,"Africa",-4.60517018598809
"South Africa",1981,"Africa",-4.60517018598809
"South Africa",1982,"Africa",-4.60517018598809
"South Africa",1983,"Africa",-4.60517018598809
"South Africa",1984,"Africa",2.38995473913095
"South Africa",1985,"Africa",2.69286887910655
"South Africa",1986,"Africa",3.19716177196145
"South Africa",1987,"Africa",2.84147325452492
"South Africa",1988,"Africa",3.37269502118944
"South Africa",1989,"Africa",3.42884497359097
"South Africa",1990,"Africa",3.15610640461512
"South Africa",1991,"Africa",3.23514279733207
"South Africa",1992,"Africa",3.25076201373052
"South Africa",1993,"Africa",3.00384924165594
"South Africa",1994,"Africa",3.29383486333366
"South Africa",1995,"Africa",3.44687158515333
"South Africa",1996,"Africa",3.48792538517198
"South Africa",1997,"Africa",3.55936853995222
"South Africa",1998,"Africa",3.63207097903828
"South Africa",1999,"Africa",3.57425392827263
"South Africa",2000,"Africa",3.58764928570487
"South Africa",2001,"Africa",3.38750405453015
"South Africa",2002,"Africa",3.49313825536051
"South Africa",2003,"Africa",3.54122015958198
"South Africa",2004,"Africa",3.58878283757565
"South Africa",2005,"Africa",3.41398197602157
"South Africa",2006,"Africa",3.28873765203712
"South Africa",2007,"Africa",3.40356125218409
"South Africa",2008,"Africa",3.53622348997573
"South Africa",2009,"Africa",3.51470462245575
"South Africa",2010,"Africa",3.56331623113859
"South Africa",2011,"Africa",3.50990229857037
"South Africa",2012,"Africa",3.50888518707907
"South Africa",2013,"Africa",3.5869851464326
"South Africa",2014,"Africa",3.55862838961098
"South Africa",2015,"Africa",3.4329221213564
"South Africa",2016,"Africa",3.68960419142839
"South Africa",2017,"Africa",3.67379119669246
"South Africa",2018,"Africa",3.31687329974944
"South Africa",2019,"Africa",3.56124492646966
"Algeria",1965,"Africa",-4.60517018598809
"Algeria",1966,"Africa",-4.60517018598809
"Algeria",1967,"Africa",-4.60517018598809
"Algeria",1968,"Africa",-4.60517018598809
"Algeria",1969,"Africa",-4.60517018598809
"Algeria",1970,"Africa",-4.60517018598809
"Algeria",1971,"Africa",-4.60517018598809
"Algeria",1972,"Africa",-4.60517018598809
"Algeria",1973,"Africa",-4.60517018598809
"Algeria",1974,"Africa",-4.60517018598809
"Algeria",1975,"Africa",-4.60517018598809
"Algeria",1976,"Africa",-4.60517018598809
