"country","year","continent","oil_consumption"
"Egypt",1965,"Africa",4.3994244118503
"Egypt",1966,"Africa",4.46992303658007
"Egypt",1967,"Africa",4.26735905344563
"Egypt",1968,"Africa",4.31227454648342
"Egypt",1969,"Africa",4.01438101808172
"Egypt",1970,"Africa",4.27215596353817
"Egypt",1971,"Africa",4.30525357586797
"Egypt",1972,"Africa",4.43866685872113
"Egypt",1973,"Africa",4.37678793662568
"Egypt",1974,"Africa",4.47630218852823
"Egypt",1975,"Africa",4.57494806379851
"Egypt",1976,"Africa",4.74133435980068
"Egypt",1977,"Africa",4.80713912927083
"Egypt",1978,"Africa",4.84188522661238
"Egypt",1979,"Africa",4.93411415618851
"Egypt",1980,"Africa",5.04767414153124
"Egypt",1981,"Africa",5.18832949450472
"Egypt",1982,"Africa",5.3169428306712
"Egypt",1983,"Africa",5.41339452238916
"Egypt",1984,"Africa",5.48791654377037
"Egypt",1985,"Africa",5.50410313948586
"Egypt",1986,"Africa",5.50854992858199
"Egypt",1987,"Africa",5.54684402371458
"Egypt",1988,"Africa",5.56233411107183
"Egypt",1989,"Africa",5.60158731434147
"Egypt",1990,"Africa",5.63674126885875
"Egypt",1991,"Africa",5.61959256811815
"Egypt",1992,"Africa",5.59185600578406
"Egypt",1993,"Africa",5.54359416049671
"Egypt",1994,"Africa",5.5370822667652
"Egypt",1995,"Africa",5.61813380512251
"Egypt",1996,"Africa",5.67367715643533
"Egypt",1997,"Africa",5.727944865403
"Egypt",1998,"Africa",5.77895797204015
"Egypt",1999,"Africa",5.79840757135983
"Egypt",2000,"Africa",5.77836105034442
"Egypt",2001,"Africa",5.73868940965354
"Egypt",2002,"Africa",5.70768485047344
"Egypt",2003,"Africa",5.73475128560434
"Egypt",2004,"Africa",5.76795217778877
"Egypt",2005,"Africa",5.87192903926885
"Egypt",2006,"Africa",5.835547307833
"Egypt",2007,"Africa",5.89996310484549
"Egypt",2008,"Africa",5.96741516510046
"Egypt",2009,"Africa",6.01979443920888
"Egypt",2010,"Africa",6.07480795531739
"Egypt",2011,"Africa",6.00419566146171
"Egypt",2012,"Africa",6.0497971324498
"Egypt",2013,"Africa",6.06065939819568
"Egypt",2014,"Africa",6.12987775426161
"Egypt",2015,"Africa",6.16871074603515
"Egypt",2016,"Africa",6.19478083082244
"Egypt",2017,"Africa",6.12005343314488
"Egypt",2018,"Africa",6.05253142405637
"Egypt",2019,"Africa",6.0349023175016
"South Africa",1965,"Africa",4.21017012772769
"South Africa",1966,"Africa",4.29319542096727
"South Africa",1967,"Africa",4.37927284647726
"South Africa",1968,"Africa",4.46268453769134
