"country","year","continent","solar_consumption"
"South Africa",1965,"Africa",-4.60517018598809
"South Africa",1966,"Africa",-4.60517018598809
"South Africa",1967,"Africa",-4.60517018598809
"South Africa",1968,"Africa",-4.60517018598809
"South Africa",1969,"Africa",-4.60517018598809
"South Africa",1970,"Africa",-4.60517018598809
"South Africa",1971,"Africa",-4.60517018598809
"South Africa",1972,"Africa",-4.60517018598809
"South Africa",1973,"Africa",-4.60517018598809
"South Africa",1974,"Africa",-4.60517018598809
"South Africa",1975,"Africa",-4.60517018598809
"South Africa",1976,"Africa",-4.60517018598809
"South Africa",1977,"Africa",-4.60517018598809
"South Africa",1978,"Africa",-4.60517018598809
"South Africa",1979,"Africa",-4.60517018598809
"South Africa",1980,"Africa",-4.60517018598809
"South Africa",1981,"Africa",-4.60517018598809
"South Africa",1982,"Africa",-4.60517018598809
"South Africa",1983,"Africa",-4.60517018598809
"South Africa",1984,"Africa",-4.60517018598809
"South Africa",1985,"Africa",-4.60517018598809
"South Africa",1986,"Africa",-4.60517018598809
"South Africa",1987,"Africa",-4.60517018598809
"South Africa",1988,"Africa",-4.60517018598809
"South Africa",1989,"Africa",-4.60517018598809
"South Africa",1990,"Africa",-4.60517018598809
"South Africa",1991,"Africa",-4.60517018598809
"South Africa",1992,"Africa",-4.60517018598809
"South Africa",1993,"Africa",-4.60517018598809
"South Africa",1994,"Africa",-4.60517018598809
"South Africa",1995,"Africa",-4.60517018598809
"South Africa",1996,"Africa",-4.60517018598809
"South Africa",1997,"Africa",-4.60517018598809
"South Africa",1998,"Africa",-4.60517018598809
"South Africa",1999,"Africa",-4.60517018598809
"South Africa",2000,"Africa",-3.32423634052603
"South Africa",2001,"Africa",-3.2188758248682
"South Africa",2002,"Africa",-3.12356564506388
"South Africa",2003,"Africa",-3.03655426807425
"South Africa",2004,"Africa",-2.95651156040071
"South Africa",2005,"Africa",-2.88240358824699
"South Africa",2006,"Africa",-2.81341071676004
"South Africa",2007,"Africa",-2.7646205525906
"South Africa",2008,"Africa",-2.70306265959117
"South Africa",2009,"Africa",-2.64507540194082
"South Africa",2010,"Africa",-2.50103603171788
"South Africa",2011,"Africa",-1.52326021619305
"South Africa",2012,"Africa",-1.46101790731583
"South Africa",2013,"Africa",-0.45886588483528
"South Africa",2014,"Africa",1.05361492273737
"South Africa",2015,"Africa",1.94075402190594
"South Africa",2016,"Africa",2.10936435533109
"South Africa",2017,"Africa",2.37033719504486
"South Africa",2018,"Africa",2.50764613675749
"South Africa",2019,"Africa",2.56779146868064
"Egypt",1965,"Africa",-4.60517018598809
"Egypt",1966,"Africa",-4.60517018598809
"Egypt",1967,"Africa",-4.60517018598809
"Egypt",1968,"Africa",-4.60517018598809
"Egypt",1969,"Africa",-4.60517018598809
"Egypt",1970,"Africa",-4.60517018598809
"Egypt",1971,"Africa",-4.60517018598809
"Egypt",1972,"Africa",-4.60517018598809
"Egypt",1973,"Africa",-4.60517018598809
"Egypt",1974,"Africa",-4.60517018598809
"Egypt",1975,"Africa",-4.60517018598809
