"country","year","continent","wind_consumption"
"South Africa",1965,"Africa",-4.60517018598809
"South Africa",1966,"Africa",-4.60517018598809
"South Africa",1967,"Africa",-4.60517018598809
"South Africa",1968,"Africa",-4.60517018598809
"South Africa",1969,"Africa",-4.60517018598809
"South Africa",1970,"Africa",-4.60517018598809
"South Africa",1971,"Africa",-4.60517018598809
"South Africa",1972,"Africa",-4.60517018598809
"South Africa",1973,"Africa",-4.60517018598809
"South Africa",1974,"Africa",-4.60517018598809
"South Africa",1975,"Africa",-4.60517018598809
"South Africa",1976,"Africa",-4.60517018598809
"South Africa",1977,"Africa",-4.60517018598809
"South Africa",1978,"Africa",-4.60517018598809
"South Africa",1979,"Africa",-4.60517018598809
"South Africa",1980,"Africa",-4.60517018598809
"South Africa",1981,"Africa",-4.60517018598809
"South Africa",1982,"Africa",-4.60517018598809
"South Africa",1983,"Africa",-4.60517018598809
"South Africa",1984,"Africa",-4.60517018598809
"South Africa",1985,"Africa",-4.60517018598809
"South Africa",1986,"Africa",-4.60517018598809
"South Africa",1987,"Africa",-4.60517018598809
"South Africa",1988,"Africa",-4.60517018598809
"South Africa",1989,"Africa",-4.60517018598809
"South Africa",1990,"Africa",-4.60517018598809
"South Africa",1991,"Africa",-4.60517018598809
"South Africa",1992,"Africa",-4.60517018598809
"South Africa",1993,"Africa",-4.60517018598809
"South Africa",1994,"Africa",-4.60517018598809
"South Africa",1995,"Africa",-4.60517018598809
"South Africa",1996,"Africa",-4.60517018598809
"South Africa",1997,"Africa",-4.60517018598809
"South Africa",1998,"Africa",-4.60517018598809
"South Africa",1999,"Africa",-4.60517018598809
"South Africa",2000,"Africa",-4.60517018598809
"South Africa",2001,"Africa",-4.60517018598809
"South Africa",2002,"Africa",-4.60517018598809
"South Africa",2003,"Africa",-3.64965874096066
"South Africa",2004,"Africa",-3.17008566069877
"South Africa",2005,"Africa",-3.17008566069877
"South Africa",2006,"Africa",-3.17008566069877
"South Africa",2007,"Africa",-3.17008566069877
"South Africa",2008,"Africa",-2.7333680090865
"South Africa",2009,"Africa",-2.41911890925
"South Africa",2010,"Africa",-2.31263542884755
"South Africa",2011,"Africa",-2.24431618487007
"South Africa",2012,"Africa",-2.25379492882461
"South Africa",2013,"Africa",-2.25379492882461
"South Africa",2014,"Africa",1.00173421369162
"South Africa",2015,"Africa",2.05142779522464
"South Africa",2016,"Africa",2.36038219172026
"South Africa",2017,"Africa",2.68628164262906
"South Africa",2018,"Africa",2.84135656841044
"South Africa",2019,"Africa",2.84432781939476
"Morocco",1965,"Africa",-4.60517018598809
"Morocco",1966,"Africa",-4.60517018598809
"Morocco",1967,"Africa",-4.60517018598809
"Morocco",1968,"Africa",-4.60517018598809
"Morocco",1969,"Africa",-4.60517018598809
"Morocco",1970,"Africa",-4.60517018598809
"Morocco",1971,"Africa",-4.60517018598809
"Morocco",1972,"Africa",-4.60517018598809
"Morocco",1973,"Africa",-4.60517018598809
"Morocco",1974,"Africa",-4.60517018598809
"Morocco",1975,"Africa",-4.60517018598809
